브랜드,파트넘버,제품명,스팩, 총재고 
Microchip,PIC16F1454T,8-bit USB Microcontroller,"14KB Flash, 1KB RAM, USB 2.0, 12 I/O, 48MHz (PLL), SOIC-14 패키지",18900
TI,MSP430G2333IPW28R(TSSOP),16-bit Ultra-Low Power MCU,"8KB Flash, 512B SRAM, 10-bit ADC, UART/SPI/I²C, 16MHz, 28핀 TSSOP",3614
TI,SN65LBC184D,RS-485/RS-422 Differential Line Transceiver,"1 Driver / 1 Receiver, Half-Duplex, 250kbps, ±12kV ESD, 4.75~5.25V, SOIC-8",2994
Realtek,1SALC5658-ALC5658,Ultra-Low Power Stereo Audio CODEC,"24-bit DAC/ADC, 48kHz, I²S/I²C Interface, Integrated Class-D Amp, QFN 패키지",15708
Realtek,1SALC5660-ALC5660,High-Performance Low-Power Stereo Audio CODEC,"24-bit DAC/ADC, 최대 192kHz, I²S/I²C, Integrated Class-D & Headphone Amp, QFN 패키지",31155
AVAGO,HCPL-0600,High-Speed Optocoupler (Logic Gate Output),"10Mbps, Open Collector Output, 3750Vrms Isolation, 4.5~5.5V, SOIC-8",3846
DRAGONCHIP,DC6688F16SB,8-bit Microcontroller Unit (8051 기반 MCU),"16KB Flash, 64B Data Flash, 256B SRAM, 1 UART, 3 Timer, 19 I/O, SOP-24",6539
RADIO PULS,MG2455-F48(ZigBee),2.4GHz ZigBee SoC Wireless Transceiver,"IEEE 802.15.4/ZigBee, 8051 MCU 내장, 128KB Flash, 8KB SRAM, QFN-48",2500
MICRON,MTFC4GACAJCN-1M WT,4GB e.MMC NAND Flash Memory,"4GB MLC, e.MMC 4.41, Up to 104MB/s, 11.5 × 13 mm VFBGA-153",500
,303BOXRMS2,CASE ,GMON HRTS,690
,303BP2000S,BOARD PLATE,2000SS 5.5~15KW,25
,303CSB020B,CASE,BOTTOM(HHT-2000) 파란색 케이스,42
,303CST020B,CASE,TOP(HHT-2000) 파란색 케이스,42
,303RPYO586,REMOTE S/W PANEL,비상용,91
,303RPYO845,REMOTE S/W PANEL,750*80 사출표판,151
,304BD20126,CHIP BEAD,FCM2012KF-600T09,3047
,304BDJA102,CHIP BEAD,ACMS160808A102,4165
,304BDM601A,CHIP BEAD,MMZ2012S601AT000,1900
,304BDPA600,CHIP BEAD,CB2012PA600T,2443
,304BDPU221,CHIP BEAD,TI160808U221,1844
,304BDS600A,CHIP BEAD,MPZ1608S600ATAH0,1194
,304BTS621T,BATTERY,MS621T,100
,304CA226KA,CAPACITOR,3216 22uF K 25V X5R,1432
,304CA473KB,CAPACITOR,3216 47nF K 50V X7R,32960
,304CA476MP,CAPACITOR,3216 47uF M 10V X5R (MAX 10V),1570
,304CB106KB,CAPACITOR,3225 10uF K 50V X5R,2539
,304CB225KB,CAPACITOR,3225 2.2uF K 50V X7R,2596
,304CB226KP,CAPACITOR,3225 22uF K 10V X5R (16V 사용 가능),11394
,304CC102KK,CAPACITOR,4532 1nF K 3KV X7R,36
,304CC103KJ,CAPACITOR,4532 10nF K 2KV X7R,515
,304CC105KK,CAPACITOR,4532 1uF K 3KV X7R(CC1812KKX7REBB102),803
,304CD102KI,CAPACITOR,4520 1nF K 1000V X7R,2500
,304CD106KB,CAPACITOR,5750 10uF K 50V,183
,304CJ010CB,CAPACITOR,1608 1pF C 50V C0G,1779
,304CJ102KB,CAPACITOR,1608 1nF K 50V X7R,2869
,304CJ103KB,CAPACITOR,1608 10nF K 50V X7R(J급 사용가능),3700
,304CJ105KA,CAPACITOR,1608 1uF K 25V X5R,3176
,304CJ105KO,CAPACITOR,1608 1uF K 16V X5R,1745
,304CJ106KP,CAPACITOR,1608 10uF K 10V X5R,2854
,304CJ106MO,CAPACITOR,1608 10uF M 16V X5R,6024
,304CJ122KB,CAPACITOR,1608 1.2nF K 50V X7R,1773
,304CJ150JB,CAPACITOR,1608 15pF J 50V C0G,18548
,304CJ224KA,CAPACITOR,1608 220nF K 25V X7R,10800
,304CJ225KO,CAPACITOR,1608 2.2uF K 16V X5R,4272
,304CJ225KP,CAPACITOR,1608 2.2uF K 10V X5R,3482
,304CJ226MQ,CAPACITOR,1608 22uF M 6.3V X5R,2867
,304CJ431JB,CAPACITOR,1608 430pF J 50V C0G,2687
,304CJ472KB,CAPACITOR,1608 4.7nF K 50V X7R,3839
,304CJ474KA,CAPACITOR,1608 470nF K 25V X7R,3851
,304CN47501,CONNECTOR,USB Type AB (47589-0001),397
,304CN50674,CONNECTOR,55091-0674(60 PIN),255
,304CNUSB5P,CONNECTOR,Mini USB/MUSB-05-F-AB-SM-A,275
,304CNWR04P,CONNECTOR,12505WR-04,1875
,304CP105KM,CAPACITOR,2012 1uF K 50V X7R / GRM21BR71H105KA12L,1535
,304CP105ZB,CAPACITOR,2012 1uF Z 50V Y5V,987
,304CP106KO,CAPACITOR,2012 10uF K 16V X5R,1717
,304CP154KB,CAPACITOR,2012 150nF K 50V X7R,2000
,304CP226KP,CAPACITOR,2012 22uF M 10V X5R,3416
,304CP226MA,CAPACITOR,2012 22uF M 25V X5R,1840
,304CP270JB,CAPACITOR,2012 27pF J 50V NP0,2340
,304CP273KB,CAPACITOR,2012 27nF K 50V X7R,1776
,304CP330JB,CAPACITOR,2012 33pF J 50V NP0,5238
,304CP333KB,CAPACITOR,2012 33nF K 50V X7R,900
,304CP394KO,CAPACITOR,2012 390nF K 16V X7R,5114
,304CP680KB,CAPACITOR,2012 68pF J 50V NP0,9579
,304CS100JB,CAPACITOR,1005 10pF J 50V C0G,9052
,304CS101JB,CAPACITOR,1005 100pF J 50V C0G,9233
,304CS102KB,CAPACITOR,1005 1nF K 50V X7R,8095
,304CS103KB,CAPACITOR,1005 10nF K 50V X7R,14866
,304CS104KB,CAPACITOR,1005 100nF K 50V X7R,8007
,304CS104KO,CAPACITOR,1005 100nF K 16V X7R,8144
,304CS105KO,CAPACITOR,1005 1uF K 16V X5R,8763
,304CS106KO,CAPACITOR,1005 10uF M 10V X5R,9461
,304CS122KB,CAPACITOR,1005 1.2nF K 50V X7R,7762
,304CS180JB,CAPACITOR,1005 18pF J 50V C0G,15247
,304CS200JB,CAPACITOR,1005 20pF J 50V NP0,19347
,304CS220JB,CAPACITOR,1005 22pF J 50V NP0,8474
,304CS225KO,CAPACITOR,1005 2.2uF K 16V X5R,8296
,304CS270JB,CAPACITOR,1005 27pF J 50V C0G,9402
,304CS391JB,CAPACITOR,1005 390pF J 50V C0G,9347
,304CS475JO,CAPACITOR,1005 4.7uF M 16V X5R,8853
,304CS475KP,CAPACITOR,1005 4.7uF K 10V X5R (M급 16V 사용가능),8672
,304D05G12D,DIODE,LOPIVA 05G12D,6742
,304D12CT1G,DIODE,SD12CT1G,4830
,304D4220CZ,DIODE,IP4220CZ6,780
,304D520S30,DIODE,RB520S30TE61,2591
,304D521SM3,DIODE,RB521SM-30T2R,8222
,304DB240A1,DIODE,B240A-13-F,3855
,304DBAT54C,DIODE,BAT54C / BAT54CLT1G,734
,304DBAV99L,DIODE,BAV99LT1G,8716
,304DBD4148,DIODE,MMBD4148,7109
,304DBJ28CA,DIODE,SMBJ28CA,997
,304DBJ5353,DIODE,SMBJ5353B,2947
,304DBZT52C,DIODE,BZT52C30,781
,304DM5233B,DIODE,ZMM5233B,32500
,304DMAJ24A,DIODE,SMAJ24A,899
,304DMM5250,DIODE,ZMM5250(1N5250),2389
,304DRB160M,DIODE,RB160M-60TR,1669
,304DS1G111,DIODE,S1G_DEC,4581
,304DS2L40A,DIODE,STPS2L40AF,6046
,304DSMCJ13,DIODE,SMCJ13CA,793
,304DSS1601,DIODE,SS16-SMA,3693
,304DSZ4684,DIODE,MMSZ4684T1G(3.3V),3016
,304DTH121U,DIODE,STTH212U,2094
,304DZ4678T,DIODE,MMSZ4678T1G(1.8V),1572
,304DZ5242B,DIODE,MMSZ5242B,75599
,304E10735V,ELEC CAPACITOR,MVK 100uF 35V(6.3*8),424
,304E22735M,ELEC CAPACITOR,MVK 220uF 35V(8*10),337
,304FSMD012,FUSE,FSMD012-1206-R,710
,304FSMD260,FUSE,FSMD260-13R,988
,304LJ036A1,CHIP LED,BL-HG036A-AV-TRB (1608 GREEN),2874
,304LJ136A1,CHIP LED,BL-HS136A / BL-HUF36A-AV-TRB (1608 RED),2466
,304LJ2ERD1,CHIP LED,ECL-1608RD-2E1 저휘도,173
,304LJ2EYG1,CHIP LED,ECL-1608YG-2E1(HY) 저휘도,1660
,304LJ600H1,CHIP LED,FC-DA1608HOK-600H (1608 ORANGE),196887
,304N0735F1,INDUCTOR,SHP0735P-F100A,33
,304N0T100M,INDUCTOR,NR8040T100M,108
,304N102MEC,INDUCTOR,XFL4020-102MEC,403
,304N103KLD,INDUCTOR,SER1360-103KLD,399
,304N103MLD,INDUCTOR,MSS1278-103MLD,396
,304N152MEC,INDUCTOR,XFL4020-152MEC,903
,304N21PN1R,CHIP INDUCTOR,LQM21PN1R5MC0D,3624
,304NC401SK,CHIP INDUCTOR,DLW44SM401SK2,718
,304NE7012P,CHIP INDUCTOR,ACM7060-701-2PL-TL01,879
,304NJ121SN,CHIP INDUCTOR,BLM18EG121SN1,3043
,304NJN100M,CHIP INDUCTOR,LQM18FN100M00D,2731
,304NJN56NG,CHIP INDUCTOR,LQW18AN56NG00D,2614
,304NL81R52,INDUCTOR COIL,ZJYS81R5-2PL51T-G01,850
,304NLP331M,INDUCTOR,LPF7045T-331M,1150
,304NLZJS54,INDUCTOR COIL,ZJS51R5-2PT-01,300
,304NM100WT,CHIP INDUCTOR,MLZ1608M100WT000,3509
,304NM9002P,CHIP INDUCTOR,ACM2012-900-2P-T001,3151
,304NP600NE,CHIP INDUCTOR,CIC21P600NE,663
,304NTI121,CHIP INDUCTOR,TI201209U121 [120R 3A],2877
,304OT24MHZ,OSC,24MHz(SCO-105),568
,304P00205T,PIN HEADER,23063226-00205-TR1(TSM-110-01-T-DV),384
,304PH40FHA,DIP PIN HEADER,A3C-40DA-2SMD / 2.0FH 2X20 SMD,245
,304RA1203F,RESISTOR,3216 F 120K,3000
,304RA1501F,RESISTOR,3216 F 1.5K,3500
